name,strategy_name,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,avg_win_loss_ratio,wfo_windows,wfo_total_trades,wfo_mean_sharpe,wfo_total_return_pct,passes_gates,failure_reasons
mtf-0056,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,192,29.6875,-74.88937104135297,78.77102989047576,-2.2101846274346157,-2.990250636647164,0.549877666807672,1.3023418424392232,3,48,-2.873857379134897,-39.84226535804108,False,"drawdown,wfo_sharpe"
mtf-0057,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,59,49.152542372881356,-26.485007389958664,32.3770101011388,-1.488676183218147,-1.9060984696148249,0.48674617383545876,0.5035305246573711,3,7,-0.5326985331917867,-5.591083786603168,False,"drawdown,wfo_sharpe"
mtf-0058,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,209,32.535885167464116,-72.11796176624024,77.11299881395523,-2.163393787981254,-2.94716391937412,0.5654464579242642,1.1724698612841358,3,41,-2.351612030177271,-32.02079549666949,False,"drawdown,wfo_sharpe"
mtf-0059,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,222,48.1981981981982,-80.09286553073632,81.44157957760024,-3.835630296125121,-4.648043553818756,0.3797573583650183,0.4081504318876365,3,59,-3.7509467945109543,-37.10639105547474,False,"drawdown,wfo_sharpe"
mtf-0060,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,379,42.480211081794195,-91.62959824681258,92.21712669174958,-3.9091389038228463,-5.02631752256007,0.48669777925209584,0.6590069309127757,3,100,-4.45399031410357,-54.4997049722613,False,"drawdown,wfo_sharpe"
mtf-0061,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,9,22.22222222222222,-12.668734257964879,14.816851202744239,-1.435497439491082,-1.6963719703302231,0.11430186228275355,0.4000565179896374,3,4,-0.5888007406085466,-4.7771967863735165,False,"wfo_trades,wfo_sharpe"
mtf-0062,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,162,24.691358024691358,-68.85682184417061,74.56833122438653,-1.9269086006807778,-2.643064948082186,0.5649595860000389,1.7231267373001182,3,37,-2.4008496350339517,-32.64715781870907,False,"drawdown,wfo_sharpe"
mtf-0063,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,38,50.0,-27.570922672023663,28.69790935713512,-1.5074084097987042,-1.8472071380487411,0.29946414386432585,0.29946414386432585,3,15,-2.1715889483502404,-14.94957091536021,False,"drawdown,wfo_sharpe"
mtf-0064,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,192,29.6875,-74.88937104135297,78.77102989047576,-2.2101846274346157,-2.990250636647164,0.549877666807672,1.3023418424392232,3,48,-2.873857379134897,-39.84226535804108,False,"drawdown,wfo_sharpe"
mtf-0065,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,63,47.61904761904761,-30.170711995493622,35.76731671019141,-1.6805366526276875,-2.140216514002531,0.469036361506446,0.5159399976570906,3,10,-2.1227468393190256,-12.185682659989183,False,"drawdown,wfo_sharpe"
mtf-0066,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,218,32.11009174311927,-74.71429686083128,79.3216562137822,-2.280433877442002,-3.1003414089390597,0.5530346876269522,1.1692733395541273,3,48,-2.802491025620091,-38.333625304552186,False,"drawdown,wfo_sharpe"
mtf-0067,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,227,48.01762114537445,-81.32324196542686,82.5885976573774,-3.9240382995776866,-4.764116176571157,0.37629526341618225,0.40736551452394043,3,62,-3.858984348566582,-38.11781894247981,False,"drawdown,wfo_sharpe"
mtf-0068,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,388,42.01030927835052,-92.90629843550859,93.48261317276031,-4.099128634177604,-5.273021179620067,0.4746987964465422,0.6552590748495215,3,106,-4.91508860795459,-58.30105182735422,False,"drawdown,wfo_sharpe"
mtf-0069,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,13,23.076923076923077,-17.047123439883308,19.145147592381324,-1.7068456308775852,-2.0212470660545234,0.1718922180451031,0.5729740601503438,3,7,-2.196999829843479,-11.428646839818068,False,wfo_sharpe
mtf-0070,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,171,24.561403508771928,-71.75682957406386,77.02255591614991,-2.0479430268009193,-2.802690961988135,0.5506819171813835,1.6913801741999637,3,44,-2.850389471799206,-38.90182103335202,False,"drawdown,wfo_sharpe"
mtf-0071,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,43,48.837209302325576,-31.999046813523,33.38654015382587,-1.6926539014083928,-2.092629232134133,0.28850892389579164,0.3022474440813055,3,18,-2.4098049606060274,-16.257695042940778,False,"drawdown,wfo_sharpe"
mtf-0072,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,201,29.850746268656714,-77.21515531529218,80.73728907553908,-2.316954158385936,-3.1360283831712445,0.535299552481712,1.2579539483320232,3,54,-2.8922093516754663,-40.87198147801867,False,"drawdown,wfo_sharpe"
mtf-0073,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,63,47.61904761904761,-30.170711995493622,35.76731671019141,-1.6805366526276875,-2.140216514002531,0.469036361506446,0.5159399976570906,3,10,-2.1227468393190256,-12.185682659989183,False,"drawdown,wfo_sharpe"
mtf-0074,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,218,32.11009174311927,-74.71429686083128,79.3216562137822,-2.280433877442002,-3.1003414089390597,0.5530346876269522,1.1692733395541273,3,48,-2.802491025620091,-38.333625304552186,False,"drawdown,wfo_sharpe"
mtf-0075,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,227,48.01762114537445,-81.32324196542686,82.5885976573774,-3.9240382995776866,-4.764116176571157,0.37629526341618225,0.40736551452394043,3,62,-3.858984348566582,-38.11781894247981,False,"drawdown,wfo_sharpe"
